Generation,Best Fitness,Average Fitness,Best Features,Average Features
1,0.6856916505150223,0.6856916505150221,15,15.0
2,0.6677395841030561,0.6542149056619034,17,17.2
3,0.6701026027828778,0.6639337470358905,17,18.0
4,0.6712214022235886,0.6663151740231943,16,17.65
5,0.682283112841712,0.6691353592628748,19,16.35
6,0.682283112841712,0.671467652757903,19,16.05
7,0.6849354260812606,0.6754417577168768,16,16.6
8,0.6856916505150223,0.680521670674904,15,17.1
9,0.6856916505150223,0.6845242904849863,15,16.45
10,0.6856916505150223,0.6852757270764532,15,15.55
11,0.6856916505150223,0.6854647831848937,15,15.3
12,0.6856916505150223,0.6856916505150221,15,15.0
13,0.6856916505150223,0.6856916505150221,15,15.0
14,0.6856916505150223,0.6856916505150221,15,15.0
15,0.6856916505150223,0.6856916505150221,15,15.0
