Metric,NN Model,GA Model,GA Retrained Model
Selected Features,32.0,13.0,9
Validation Loss,0.4518,0.443,0.4379
Validation Accuracy,0.8343,0.8488,0.8576
Validation Precision,0.7778,0.7966,0.8349
Validation Recall,0.7459,0.7705,0.7459
Validation F1 Score,0.7615,0.7833,0.7879
Validation ROC AUC,0.8144,0.8312,0.8324
Test Loss,0.4628,0.4579,0.4495
Test Accuracy,0.8349,0.8326,0.8349
Test Precision,0.7718,0.75,0.7647
Test Recall,0.7566,0.7895,0.7697
Test F1 Score,0.7641,0.7692,0.7672
Test ROC AUC,0.8171,0.8228,0.8201
Overfitting Ratio Accuracy,-0.0007,0.0192,0.0264
